Persona:int,AnoNac:int,Sexo:int
10292106,2012,2
10293001,1947,2
10293002,1975,2
10293003,2009,2
10294101,1990,2
10294102,1959,2
10294103,1998,2
10295101,1981,2
10295102,1980,1
10295103,1998,2
10295104,2000,2
10296001,1956,2
10296002,1978,1
10296003,1986,2
10296004,1990,2
10296005,1998,1
10296006,2000,1
10296007,2003,2
10296008,2005,2
10296009,2002,2
10296010,2007,2
10296011,2009,2
10296012,2010,2
10296013,2010,2
10297001,1977,1
10297002,1997,1
10297003,2002,2
10297004,2009,1
10298001,1981,1
10298002,1988,2
10298003,2008,2
10298004,2006,2
10299001,1974,1
10299002,1978,2
10299003,1995,2
10299004,2001,1
10299005,1949,2
10300101,1969,1
10300102,1947,1
10300103,1947,2
10301001,1937,1
10301002,1942,2
10301003,1964,1
10301004,1964,1
10301005,1972,1
10302001,1951,1
10302002,1959,2
10302003,1978,1
10303001,1958,1
10303002,1958,2
10303003,1979,1
10303004,1979,2
10303005,1981,2
10303006,1985,2
10303007,1994,2
10303008,1998,1
10303009,2001,1
10303010,2006,2
10303011,2008,1
10303012,1939,1
10304101,1933,1
10305101,1973,1
10305102,1945,2
10305103,1945,1
10306201,1949,1
10306202,1958,2
10306203,1972,2
10306204,1999,2
10306205,2006,2
10307101,1969,2
10307102,1998,2
10308101,1984,2
10308102,1974,1
10308103,1942,2
10309001,1963,1
10309002,1969,2
10309003,1995,1
10309004,1997,1
10310101,1935,2
10310102,1937,1
10311101,1967,2
10311102,1997,1
10311103,1999,2
10312001,1965,1
10312002,1961,2
10312003,1991,1
10312004,1998,1
10313001,1949,1
10313002,1955,2
10313003,1990,1
10313004,1994,2
10313005,2010,1
10314001,1973,2
10314002,1970,1
10314003,2002,2
10315101,1967,2
10315102,1940,1
10315103,1970,2
10315104,2000,1
10316201,1981,1
10316202,1990,2
10316203,2010,1
10316204,2007,1
10317001,1955,1
10317002,1957,2
10317003,1982,2
10318001,1971,1
10318002,1972,2
10318003,1995,2
10318004,2012,2
10319101,1974,1
10319102,1982,2
10319103,2002,2
10319104,2009,2
10319105,2009,1
10320101,1964,2
10320102,1991,1
10321101,1988,1
10321102,1991,2
10321103,2011,2
10322101,1954,1
10322102,1989,1
10322103,1951,2
10323101,1956,1
10323102,1998,2
10323103,1963,2
10324101,1978,1
10324102,1980,2
10324103,2005,1
10324104,2007,2
10325101,1943,2
10325102,1943,1
10326101,1953,1
10326102,1965,2
10326103,1995,1
10327101,1962,2
10328101,1933,2
10329101,1928,2
10330101,1927,1
10331001,1939,2
10331002,1973,1
10331003,1964,2
10331201,1945,1
10331202,1950,2
10333101,1947,1
10334101,1960,1
10334102,1961,2
10334103,1992,1
10335101,1967,2
10335102,1990,2
10335103,1993,2
10335104,2005,2
10335105,2011,1
10335106,1992,1
10335107,1945,2
10336001,1946,1
10336002,1947,2
10336003,1990,1
10337101,1970,1
10337102,1971,2
10337103,2010,1
10338101,1967,1
10338102,1963,2
10338103,1989,1
10338104,1997,2
10339201,1963,1
10339202,1973,2
10339203,1998,2
10340101,1947,1
10340102,1970,2
10340103,1968,2
10340104,1949,2
10341101,1946,2
10341102,1985,2
10342101,1972,2
10342102,1998,2
10342103,1994,1
10342104,1992,2
10342105,2002,1
10342106,2008,2
10343101,1941,1
10343102,1938,2
10344101,1977,1
10344102,1977,2
10344103,1995,1
10344104,2011,1
10345101,1956,2
10345102,1990,1
10346101,1958,2
10346102,1998,1
10347101,1960,2
10347102,1962,2
10348101,1964,2
10349101,1983,1
10349102,1977,2
10349103,2012,1
10349104,1980,2
10350101,1958,1
10350102,1963,2
10350103,2001,2
10351101,1970,1
10351102,1978,2
10351103,1999,1
10351104,2002,2
10352101,1972,2
10352102,2003,2
10353101,1980,1
10353102,1985,2
10353103,1969,2
10353104,1995,1
10354101,1960,1
10354102,1962,2
10354103,1998,1
10355001,1982,1
10355002,1980,2
10355003,1936,1
10355004,2008,1
10355005,2010,2
10356101,1974,1
10356102,1973,2
10356103,2010,2
10357101,1976,1
10357102,1976,2
10357103,2000,1
10357104,2010,2
10357105,2005,1
10358101,1952,1
10358102,1961,2
10358103,1990,1
10359101,1973,1
10359102,1980,2
10359103,2008,1
10360101,1963,1
10360102,1960,2
10360103,1994,1
10360104,1995,1
10360105,1987,1
10361101,1945,2
10361102,1970,2
10362101,1967,1
10362102,1969,2
10362103,1995,2
10362104,2002,1
10363101,1966,1
10363102,1970,2
10363103,2007,1
10363104,2002,1
10363105,1989,2
10364101,1964,2
10364102,1987,2
10364103,1995,1
10364104,1986,1
10364105,2012,2
10365101,1963,1
10365102,1962,2
10365103,1994,2
10366001,1959,1
10366002,1964,2
10366003,1993,2
10366004,1995,2
10366005,2004,2
10367001,1965,1
10367002,1961,2
10368101,1942,1
10368102,1942,2
10369101,1960,2
10369102,1992,1
10370101,1966,1
10370102,1971,2
10370103,2008,1
10371101,1942,2
10371102,1940,1
10372101,1940,1
10372102,1950,2
10372103,1992,2
10373001,1960,1
10373002,1964,2
10373003,2005,1
10373004,1978,2
10374101,1970,1
10374102,1972,2
10374103,1998,1
10375101,1972,2
10375102,1968,1
10375103,1990,1
10375104,1994,2
10376101,1971,1
10376102,1971,2
10376103,1994,1
10377101,1963,2
10377102,1994,2
10377103,1986,2
10377104,2011,1
10378101,1946,2
10378102,1974,2
10378103,1971,1
10379101,1983,1
10379102,1982,2
10379103,1980,1
10379104,1975,2
10380101,1964,1
10380102,1966,2
10380103,1997,2
10380104,1995,2
10381101,1981,1
10381102,1974,2
10382101,1957,1
10383101,1955,2
10384101,1938,2
10384102,1990,1
10384103,1960,2
10385101,1963,2
10385102,2001,2
10386101,1952,2
10387101,1955,1
10387102,1957,2
10387103,1982,2
10388101,1983,1
10388102,1984,2
10388103,2005,2
10388104,2010,2
10389001,1932,1
10389002,1936,2
10389101,1938,1
10389102,1949,2
10391101,1953,1
10391102,1945,2
10392201,1955,1
10392202,1992,2
10392203,1990,1
10393101,1945,1
10393102,1979,2
10393103,1990,2
10394101,1958,2
10395201,1980,2
10396101,1974,1
10397001,1972,1
10397002,1987,2
10397003,2001,2
10398101,1958,2
10398102,1972,1
10398103,1928,2
10399101,1935,1
10399102,1942,2
10399103,1975,1
10399104,1980,2
10400101,1939,1
10400102,1980,2
10400103,2008,1
10400104,1999,2
10401101,1942,2
10402101,1978,1
10402102,1982,2
10402103,2007,1
10402104,2012,1
10403101,1976,1
10403102,1968,2
10403103,1990,1
10403104,1986,1
10403105,2004,2
10404201,1957,1
10404202,1957,2
10404203,1977,2
10404204,2001,1
10405101,1947,1
10405102,1957,2
10405103,1982,1
10406101,1962,1
10406102,1968,2
10406103,1990,2
10407101,1930,2
10407102,1960,1
10407103,1987,1
10408001,1968,1
10408002,1964,1
10409001,1974,1
10409002,1978,2
10409003,2007,1
10410101,1972,2
10410102,1972,1
10410103,1996,1
10410104,1999,2
10411101,1954,1
10411102,1953,2
10411103,1982,1
10411104,1992,1
10412101,1955,2
10412102,1991,2
10413101,1948,2
10414101,1937,2
10415101,1968,2
10416101,1948,1
10416102,1949,2
10417101,1993,2
10417102,2011,1
10418101,1956,1
10418102,1961,2
10419101,1974,1
10419102,1984,2
10419103,2010,1
10419104,2006,1
10420101,1972,1
10420102,1972,2
10420103,1994,1
10421101,1957,2
10421102,1983,2
10421103,1987,1
10421104,1988,2
10421105,2010,1
10422101,1927,1
10422102,1958,2
10423101,1961,1
10423102,1968,2
10423103,1986,1
10423104,1990,1
10423105,1994,2
10424101,1960,1
10424102,1959,2
10424103,1994,1
10424104,1993,2
10425101,1973,1
10425102,1977,2
10425103,1997,1
10425104,1999,1
10425105,1998,1
10425106,2006,2
10426101,1987,1
10426102,2010,2
10426103,1990,2
10427101,1945,2
10427102,1981,2
10427103,1999,1
10428101,1943,1
10428102,1945,2
10428103,1978,1
10429001,1954,2
10429002,1989,2
10429003,1988,2
10429004,2009,1
10429005,2012,1
10430101,1974,1
10430102,1968,2
10431101,1963,2
10431102,1998,1
10431103,1960,1
10432101,1962,1
10432102,1986,2
10433101,1958,1
10433102,1986,1
10433103,1971,1
10434101,1938,2
10434102,1987,2
10434103,1982,1
10435101,1977,1
10435102,1976,2
10435103,1997,2
10435104,2007,2
10436101,1951,2
10436102,1972,2
10437101,1973,2
10437102,1973,1
10437103,1992,2
10437104,2001,1
10438101,1989,1
10438102,1992,1
10438103,1993,1
10438104,1993,1
10439101,1950,2
10439102,1977,1
10440101,1952,1
10440102,1948,2
10441101,1925,2
10442101,1994,1
10442102,1995,2
10442103,2009,1
10443101,1948,1
10443102,1971,1
10444101,1950,2
10444102,1980,1
10445101,1948,2
10445102,1970,2
10445103,1997,1
10446101,1961,1
10446102,1963,2
10446103,1994,2
10447101,1979,1
10447102,1979,2
10447103,2009,2
10448101,1969,1
10448102,1967,2
10448103,2005,2
10449101,1957,1
10449102,1963,2
10449103,2001,1
10449104,1985,2
10449105,1990,2
10450101,1949,2
10450102,1945,1
10451101,1967,2
10451102,1993,1
10451103,1996,2
10451104,2012,2
10452101,1933,1
10452102,1932,2
10453101,1980,2
10453102,1978,1
10453103,2011,2
10454101,1959,1
10454102,1965,2
10454103,1993,1
10455101,1967,1
10455102,1975,2
10455103,2012,2
10455104,1997,1
10456101,1982,1
10456102,1979,2
10456103,1997,1
10457101,1974,1
10457102,1980,2
10457103,2002,1
10457104,2004,1
10457105,2007,1
10458301,1972,2
10458302,1989,1
10458303,1998,2
10458304,2008,2
10459101,1963,1
10459102,1970,2
10459103,1995,2
10459104,1940,2
10460101,1952,1
10460102,1962,2
10460103,1983,1
10460104,1989,1
10460105,1991,2
10461101,1970,1
10461102,1980,2
10461103,1999,1
10461104,2005,1
10462001,1949,1
10462002,1950,2
10462003,1969,2
10462004,1987,1
10462005,1995,1
10463101,1971,1
10463102,1969,2
10463103,1992,2
10463104,2002,2
10464101,1938,1
10464102,1946,2
10464103,1965,1
10465101,1970,2
10465102,1994,2
10465103,1946,2
10466101,1931,1
10466102,1939,2
10467101,1954,1
10467102,1953,2
10468101,1957,1
10468102,1958,2
10468103,1987,1
10469301,1948,2
10469302,1948,1
10470101,1957,1
10470102,1956,2
10470103,1994,2
10471101,1970,1
10471102,1971,2
10471103,1989,1
10471104,1991,1
10471105,2005,2
10472101,1966,1
10472102,1972,2
10472103,1991,2
10472104,1996,1
10473101,1968,1
10473102,1978,2
10473103,2008,1
10473104,2008,2
10473105,2008,2
10474101,1948,1
10474102,1948,2
10475301,1969,2
10475302,1963,1
10475303,1991,1
10475304,1997,1
10476101,1937,1
10476102,1938,2
10476103,1964,1
10476104,1988,1
10476105,1996,2
10477101,1984,2
10477102,2004,2
10477103,2009,2
10478101,1952,1
10478102,1948,2
10479101,1955,1
10479102,1957,2
10479103,1989,2
10480001,1946,2
10481101,1984,1
10481102,1984,2
10481103,2008,1
10481104,2010,2
