encuentro_id:int,encuentro_version_id:int,encuentro_location_id:int,encuentro_pokemon_id:int,encuentro_min:int,encuentro_max:int
79,12,4,224,20,50
80,12,4,224,20,50
81,12,5,279,35,40
82,12,5,73,35,40
83,12,5,279,40,45
84,12,5,73,40,45
85,12,5,73,40,45
86,12,5,129,4,6
87,12,5,129,3,7
88,12,5,129,5,10
89,12,5,129,5,10
90,12,5,129,5,10
91,12,5,129,15,20
92,12,5,223,15,20
93,12,5,129,10,25
94,12,5,223,10,25
95,12,5,223,10,25
96,12,5,130,30,40
97,12,5,224,30,40
98,12,5,370,20,30
99,12,5,224,20,50
100,12,5,224,20,50
101,12,6,74,6,6
102,12,6,74,6,6
103,12,6,41,7,7
104,12,6,41,7,7
105,12,6,74,7,7
106,12,6,74,7,7
107,12,6,95,8,8
108,12,6,95,8,8
109,12,6,74,9,9
110,12,6,74,9,9
111,12,6,74,5,5
112,12,6,74,5,5
113,12,7,74,7,7
114,12,7,74,7,7
115,12,7,41,8,8
116,12,7,41,8,8
117,12,7,74,8,8
118,12,7,74,8,8
119,12,7,95,9,9
120,12,7,95,9,9
121,12,7,74,10,10
122,12,7,74,10,10
123,12,7,74,6,6
124,12,7,74,6,6
125,12,8,418,7,7
126,12,8,309,7,7
127,12,8,417,7,7
128,12,8,309,7,7
129,12,8,418,8,8
130,12,8,422,8,8
131,12,8,399,8,8
132,12,8,179,8,8
133,12,8,422,7,7
134,12,8,179,7,7
135,12,8,422,9,9
136,12,8,417,8,8
137,12,8,418,9,9
138,12,8,418,9,9
139,12,8,418,9,9
140,12,8,418,9,9
141,12,8,239,9,9
142,12,8,418,9,9
143,12,8,422,9,9
144,12,8,422,9,9
145,12,8,422,9,9
146,12,8,422,9,9
147,12,8,239,9,9
148,12,8,422,9,9
149,12,8,418,9,9
150,12,8,179,9,9
151,12,8,422,9,9
152,12,8,179,9,9
153,12,8,72,20,30
154,12,8,278,20,30
155,12,8,73,20,40
156,12,8,279,20,40
157,12,8,279,20,40
158,12,8,129,4,6
159,12,8,129,3,7
160,12,8,129,5,10
161,12,8,129,5,10
162,12,8,129,5,10
163,12,8,129,15,20
164,12,8,456,15,20
165,12,8,129,10,25
166,12,8,456,10,25
167,12,8,456,10,25
168,12,8,130,30,40
169,12,8,457,30,40
170,12,8,90,20,40
171,12,8,457,30,50
172,12,8,457,30,50
173,12,9,265,10,10
174,12,9,287,10,10
175,12,9,266,10,10
176,12,9,287,10,10
177,12,9,265,11,11
178,12,9,265,11,11
179,12,9,198,11,11
180,12,9,406,10,10
181,12,9,406,10,10
182,12,9,198,10,10
183,12,9,427,10,10
184,12,9,290,10,10
185,12,9,406,11,11
186,12,9,290,11,11
187,12,9,427,11,11
188,12,9,406,12,12
189,12,9,406,12,12
190,12,9,273,12,12
191,12,9,406,12,12
192,12,9,204,12,12
193,12,9,11,12,12
194,12,9,14,12,12
195,12,9,427,12,12
196,12,9,273,12,12
197,12,9,427,12,12
198,12,9,204,12,12
199,12,9,11,12,12
200,12,9,14,12,12
201,12,9,267,12,12
202,12,9,290,12,12
203,12,9,267,12,12
204,12,9,290,12,12
205,12,10,419,29,29
206,12,10,81,29,29
207,12,10,422,28,28
208,12,10,81,28,28
209,12,10,403,28,28
210,12,10,278,29,29
211,12,10,404,29,29
212,12,10,304,29,29
213,12,10,423,29,29
214,12,10,304,29,29
215,12,10,417,29,29
216,12,10,417,29,29
217,12,10,419,30,30
218,12,10,423,30,30
219,12,10,419,30,30
220,12,10,304,30,30
221,12,10,423,30,30
222,12,10,304,30,30
223,12,10,72,20,30
224,12,10,278,20,30
225,12,10,73,20,40
226,12,10,279,20,40
227,12,10,279,20,40
228,12,10,129,4,6
229,12,10,129,3,7
230,12,10,129,5,10
231,12,10,129,5,10
232,12,10,129,5,10
233,12,10,129,15,20
234,12,10,456,15,20
235,12,10,129,10,25
236,12,10,456,10,25
237,12,10,456,10,25
238,12,10,130,30,40
239,12,10,457,30,40
240,12,10,90,20,40
241,12,10,457,20,50
242,12,10,457,20,50
243,12,11,66,15,15
244,12,11,74,15,15
245,12,11,173,14,14
246,12,11,74,14,14
247,12,11,74,14,14
248,12,11,173,14,14
249,12,11,41,14,14
250,12,11,41,14,14
251,12,11,307,15,15
252,12,11,41,15,15
253,12,11,433,15,15
254,12,11,433,15,15
255,12,11,66,16,16
256,12,11,173,14,14
257,12,11,66,16,16
258,12,11,173,14,14
259,12,11,41,20,30
260,12,11,41,20,40
261,12,11,42,30,40
262,12,11,42,30,40
263,12,11,42,20,40
264,12,11,129,4,6
265,12,11,129,3,7
266,12,11,129,5,10
267,12,11,129,5,10
268,12,11,129,5,10
269,12,11,129,15,20
270,12,11,339,15,20
271,12,11,129,10,25
272,12,11,339,10,25
273,12,11,339,10,25
274,12,11,130,30,40
275,12,11,340,30,40
276,12,11,130,40,55
277,12,11,340,20,50
278,12,11,340,20,50
279,12,12,437,38,38
280,12,12,75,36,36
281,12,12,67,37,37
282,12,12,35,36,36
283,12,12,308,37,37
284,12,12,42,37,37
285,12,12,433,37,37
286,12,12,433,38,38
287,12,12,436,36,36
288,12,12,338,36,36
289,12,12,337,36,36
290,12,12,436,36,36
291,12,12,436,36,36
292,12,12,436,36,36
293,12,12,35,37,37
294,12,12,338,37,37
295,12,12,337,37,37
296,12,12,35,37,37
297,12,12,35,37,37
298,12,12,35,37,37
299,12,12,436,36,36
300,12,12,35,38,38
301,12,13,437,38,38
302,12,13,75,36,36
303,12,13,67,37,37
304,12,13,35,36,36
305,12,13,308,37,37
306,12,13,42,37,37
307,12,13,433,37,37
308,12,13,433,38,38
309,12,13,436,36,36
310,12,13,338,36,36
311,12,13,337,36,36
312,12,13,436,36,36
313,12,13,436,36,36
314,12,13,436,36,36
315,12,13,35,37,37
316,12,13,338,37,37
317,12,13,337,37,37
318,12,13,35,37,37
319,12,13,35,37,37
320,12,13,35,37,37
321,12,13,436,36,36
322,12,13,35,38,38
323,12,14,459,38,38
324,12,14,460,40,40
325,12,14,308,39,39
326,12,14,308,39,39
327,12,14,42,39,39
328,12,14,67,39,39
329,12,14,67,39,39
330,12,14,164,39,39
331,12,14,308,40,40
332,12,14,294,40,40
333,12,14,67,40,40
334,12,14,294,40,40
335,12,14,433,39,39
336,12,14,433,40,40
337,12,14,437,39,39
338,12,14,338,39,39
339,12,14,337,39,39
340,12,14,437,39,39
341,12,14,437,39,39
342,12,14,437,39,39
343,12,14,35,38,38
344,12,14,338,38,38
345,12,14,337,38,38
346,12,14,35,38,38
347,12,14,35,38,38
348,12,14,35,38,38
349,12,14,437,40,40
350,12,14,294,40,40
351,12,14,35,39,39
352,12,14,294,39,39
353,12,15,459,38,38
354,12,15,460,40,40
355,12,15,308,39,39
356,12,15,308,39,39
357,12,15,42,39,39
358,12,15,67,39,39
359,12,15,67,39,39
360,12,15,164,39,39
361,12,15,308,40,40
362,12,15,294,40,40
363,12,15,67,40,40
364,12,15,294,40,40
365,12,15,433,39,39
366,12,15,433,40,40
367,12,15,437,39,39
368,12,15,338,39,39
369,12,15,337,39,39
370,12,15,437,39,39
371,12,15,437,39,39
372,12,15,437,39,39
373,12,15,35,38,38
374,12,15,338,38,38
375,12,15,337,38,38
376,12,15,35,38,38
377,12,15,35,38,38
378,12,15,35,38,38
379,12,15,437,40,40
380,12,15,294,40,40
381,12,15,35,39,39
382,12,15,294,39,39
383,12,16,437,40,40
384,12,16,75,38,38
385,12,16,67,39,39
386,12,16,35,38,38
387,12,16,308,39,39
388,12,16,42,39,39
389,12,16,433,39,39
390,12,16,433,40,40
391,12,16,437,38,38
392,12,16,338,38,38
393,12,16,337,38,38
394,12,16,437,38,38
395,12,16,437,38,38
396,12,16,437,38,38
397,12,16,35,39,39
398,12,16,338,39,39
399,12,16,337,39,39
400,12,16,35,39,39
401,12,16,35,39,39
402,12,16,35,39,39
403,12,16,437,39,39
404,12,16,35,40,40
405,12,16,41,20,30
406,12,16,41,20,40
407,12,16,42,30,40
408,12,16,42,30,40
409,12,16,42,20,40
410,12,16,129,4,6
411,12,16,129,3,7
412,12,16,129,5,10
413,12,16,129,5,10
414,12,16,129,5,10
415,12,16,129,15,20
416,12,16,339,15,20
417,12,16,129,10,25
418,12,16,339,10,25
419,12,16,339,10,25
420,12,16,130,30,40
421,12,16,147,15,20
422,12,16,130,40,55
423,12,16,148,15,35
424,12,16,148,15,40
425,12,17,437,40,40
426,12,17,75,38,38
427,12,17,67,39,39
428,12,17,35,38,38
429,12,17,308,39,39
430,12,17,42,39,39
431,12,17,433,40,40
432,12,17,358,40,40
433,12,17,437,38,38
434,12,17,338,38,38
435,12,17,337,38,38
436,12,17,437,38,38
437,12,17,437,38,38
438,12,17,437,38,38
439,12,17,35,39,39
440,12,17,338,39,39
441,12,17,337,39,39
442,12,17,35,39,39
443,12,17,35,39,39
444,12,17,35,39,39
445,12,17,437,39,39
446,12,17,35,40,40
447,12,18,437,42,42
448,12,18,75,40,40
449,12,18,67,41,41
450,12,18,35,40,40
451,12,18,308,41,41
452,12,18,42,41,41
453,12,18,358,41,41
454,12,18,358,42,42
455,12,18,437,40,40
456,12,18,338,40,40
457,12,18,337,40,40
458,12,18,437,40,40
459,12,18,437,40,40
460,12,18,437,40,40
461,12,18,35,41,41
462,12,18,338,41,41
463,12,18,337,41,41
464,12,18,35,41,41
465,12,18,35,41,41
466,12,18,35,41,41
467,12,18,437,41,41
468,12,18,35,42,42
469,12,19,437,42,42
470,12,19,75,40,40
471,12,19,67,41,41
472,12,19,35,40,40
473,12,19,308,41,41
474,12,19,42,41,41
475,12,19,358,41,41
476,12,19,358,42,42
477,12,19,437,40,40
478,12,19,338,40,40
479,12,19,337,40,40
480,12,19,437,40,40
481,12,19,437,40,40
482,12,19,437,40,40
483,12,19,35,41,41
484,12,19,338,41,41
485,12,19,337,41,41
486,12,19,35,41,41
487,12,19,35,41,41
488,12,19,35,41,41
489,12,19,437,41,41
490,12,19,35,42,42
491,12,20,75,40,40
492,12,20,75,39,39
493,12,20,67,40,40
494,12,20,35,38,38
495,12,20,308,40,40
496,12,20,42,39,39
497,12,20,433,38,38
498,12,20,433,40,40
499,12,20,437,40,40
500,12,20,338,40,40
501,12,20,337,40,40
502,12,20,437,40,40
503,12,20,437,40,40
504,12,20,437,40,40
505,12,20,35,39,39
506,12,20,338,39,39
507,12,20,337,39,39
508,12,20,35,39,39
509,12,20,35,39,39
510,12,20,35,39,39
511,12,20,437,39,39
512,12,20,35,40,40
513,12,21,307,31,31
514,12,21,75,31,31
515,12,21,35,30,30
516,12,21,42,32,32
517,12,21,67,31,31
518,12,21,42,31,31
519,12,21,433,30,30
520,12,21,433,30,30
521,12,21,307,32,32
522,12,21,35,31,31
523,12,21,307,32,32
524,12,21,35,32,32
525,12,22,307,13,13
526,12,22,74,13,13
527,12,22,173,12,12
528,12,22,74,12,12
529,12,22,74,12,12
530,12,22,173,12,12
531,12,22,41,12,12
532,12,22,41,12,12
533,12,22,66,13,13
534,12,22,41,13,13
535,12,22,433,13,13
536,12,22,433,13,13
537,12,22,307,14,14
538,12,22,307,14,14
539,12,22,173,14,14
540,12,22,307,14,14
541,12,22,307,14,14
542,12,22,307,14,14
543,12,22,173,12,12
544,12,22,307,14,14
545,12,22,173,12,12
546,12,23,307,31,31
547,12,23,75,31,31
548,12,23,35,30,30
549,12,23,42,32,32
550,12,23,67,31,31
551,12,23,42,31,31
552,12,23,433,30,30
553,12,23,433,30,30
554,12,23,307,32,32
555,12,23,35,31,31
556,12,23,307,32,32
557,12,23,35,32,32
558,12,23,41,20,30
559,12,23,41,20,40
560,12,23,42,30,40
561,12,23,42,30,40
562,12,23,42,20,40
563,12,23,129,4,6
564,12,23,129,3,7
565,12,23,129,5,10
566,12,23,129,5,10
567,12,23,129,5,10
568,12,23,129,15,20
569,12,23,339,15,20
570,12,23,129,10,25
571,12,23,339,10,25
572,12,23,339,10,25
573,12,23,130,30,40
574,12,23,340,30,40
575,12,23,130,40,55
576,12,23,340,20,50
577,12,23,340,20,50
578,12,24,194,24,24
579,12,24,400,25,25
580,12,24,406,24,24
581,12,24,406,24,24
582,12,24,163,24,24
583,12,24,396,26,26
584,12,24,396,26,26
585,12,24,164,26,26
586,12,24,183,25,25
587,12,24,195,25,25
588,12,24,183,26,26
589,12,24,195,26,26
590,12,24,54,26,26
591,12,24,54,26,26
592,12,24,54,26,26
593,12,24,54,26,26
594,12,24,24,26,26
595,12,24,54,26,26
596,12,24,54,24,24
597,12,24,54,24,24
598,12,24,54,24,24
599,12,24,54,24,24
600,12,24,24,24,24
601,12,24,54,24,24
602,12,24,399,26,26
603,12,24,298,24,24
604,12,24,194,20,30
605,12,24,183,20,30
606,12,24,195,20,40
607,12,24,54,20,40
608,12,24,54,20,40
609,12,24,129,4,6
610,12,24,129,3,7
611,12,24,129,5,10
612,12,24,129,5,10
613,12,24,129,5,10
614,12,24,129,15,20
615,12,24,339,15,20
616,12,24,129,10,25
617,12,24,130,15,30
618,12,24,130,15,30
619,12,24,340,30,55
620,12,24,318,15,20
621,12,24,130,40,55
622,12,24,318,15,30
623,12,24,318,15,30
624,12,25,194,24,24
625,12,25,400,25,25
626,12,25,406,24,24
627,12,25,406,24,24
628,12,25,163,24,24
629,12,25,396,26,26
630,12,25,396,26,26
631,12,25,164,26,26
632,12,25,183,25,25
633,12,25,195,25,25
634,12,25,183,26,26
635,12,25,195,26,26
636,12,25,54,26,26
637,12,25,54,26,26
638,12,25,54,26,26
639,12,25,54,26,26
640,12,25,24,26,26
641,12,25,54,26,26
642,12,25,54,24,24
643,12,25,54,24,24
644,12,25,54,24,24
645,12,25,54,24,24
646,12,25,24,24,24
647,12,25,54,24,24
648,12,25,399,26,26
649,12,25,298,24,24
650,12,25,194,20,30
651,12,25,183,20,30
652,12,25,195,20,40
653,12,25,54,20,40
654,12,25,54,20,40
655,12,25,129,4,6
656,12,25,129,3,7
657,12,25,129,5,10
658,12,25,129,5,10
659,12,25,129,5,10
660,12,25,129,15,20
661,12,25,339,15,20
662,12,25,129,10,25
663,12,25,130,15,30
664,12,25,130,15,30
665,12,25,340,30,55
666,12,25,318,15,20
667,12,25,130,40,55
668,12,25,318,15,30
669,12,25,318,15,30
670,12,26,194,22,22
671,12,26,400,23,23
672,12,26,406,22,22
673,12,26,406,22,22
674,12,26,163,22,22
675,12,26,396,24,24
676,12,26,396,24,24
677,12,26,163,24,24
678,12,26,183,23,23
679,12,26,195,23,23
680,12,26,183,24,24
681,12,26,195,24,24
682,12,26,54,24,24
683,12,26,54,24,24
684,12,26,54,24,24
685,12,26,54,24,24
686,12,26,24,24,24
687,12,26,54,24,24
688,12,26,54,22,22
689,12,26,54,22,22
690,12,26,54,22,22
691,12,26,54,22,22
692,12,26,24,22,22
693,12,26,54,22,22
694,12,26,399,24,24
695,12,26,298,22,22
696,12,26,194,20,30
697,12,26,183,20,30
698,12,26,195,20,40
699,12,26,54,20,40
700,12,26,54,20,40
701,12,26,129,4,6
702,12,26,129,3,7
703,12,26,129,5,10
704,12,26,129,5,10
705,12,26,129,5,10
706,12,26,129,15,20
707,12,26,339,15,20
708,12,26,129,10,25
709,12,26,130,15,30
710,12,26,130,15,30
711,12,26,340,30,55
712,12,26,318,15,20
713,12,26,130,40,55
714,12,26,318,15,30
715,12,26,318,15,30
716,12,27,194,22,22
717,12,27,400,23,23
718,12,27,406,22,22
719,12,27,406,22,22
720,12,27,163,22,22
721,12,27,396,24,24
722,12,27,396,24,24
723,12,27,163,24,24
724,12,27,183,23,23
725,12,27,195,23,23
726,12,27,183,24,24
727,12,27,195,24,24
728,12,27,54,24,24
729,12,27,54,24,24
730,12,27,54,24,24
731,12,27,54,24,24
732,12,27,24,24,24
733,12,27,54,24,24
734,12,27,54,22,22
735,12,27,54,22,22
736,12,27,54,22,22
737,12,27,54,22,22
738,12,27,24,22,22
739,12,27,54,22,22
740,12,27,399,24,24
741,12,27,298,22,22
742,12,27,194,20,30
743,12,27,183,20,30
744,12,27,195,20,40
745,12,27,54,20,40
746,12,27,54,20,40
747,12,27,129,4,6
748,12,27,129,3,7
749,12,27,129,5,10
750,12,27,129,5,10
751,12,27,129,5,10
752,12,27,129,15,20
753,12,27,339,15,20
754,12,27,129,10,25
755,12,27,130,15,30
756,12,27,130,15,30
757,12,27,340,30,55
758,12,27,318,15,20
759,12,27,130,40,55
760,12,27,318,15,30
761,12,27,318,15,30
762,12,28,194,20,20
763,12,28,400,21,21
764,12,28,406,20,20
765,12,28,406,20,20
766,12,28,163,20,20
767,12,28,396,22,22
768,12,28,396,22,22
769,12,28,163,22,22
770,12,28,183,21,21
771,12,28,195,21,21
772,12,28,183,22,22
773,12,28,195,22,22
774,12,28,399,22,22
775,12,28,399,22,22
776,12,28,399,22,22
777,12,28,399,22,22
778,12,28,24,22,22
779,12,28,399,22,22
780,12,28,298,20,20
781,12,28,298,20,20
782,12,28,298,20,20
783,12,28,298,20,20
784,12,28,24,20,20
785,12,28,298,20,20
786,12,28,399,22,22
787,12,28,298,20,20
788,12,29,194,20,20
789,12,29,400,21,21
790,12,29,406,20,20
791,12,29,406,20,20
792,12,29,163,20,20
793,12,29,396,22,22
794,12,29,396,22,22
795,12,29,163,22,22
796,12,29,183,21,21
797,12,29,195,21,21
798,12,29,183,22,22
799,12,29,195,22,22
800,12,29,54,22,22
801,12,29,54,22,22
802,12,29,54,22,22
803,12,29,54,22,22
804,12,29,24,22,22
805,12,29,54,22,22
806,12,29,54,20,20
807,12,29,54,20,20
808,12,29,54,20,20
809,12,29,54,20,20
810,12,29,24,20,20
811,12,29,54,20,20
812,12,29,399,22,22
813,12,29,298,20,20
814,12,29,194,20,30
815,12,29,183,20,30
816,12,29,195,20,40
817,12,29,54,20,40
818,12,29,54,20,40
819,12,29,129,4,6
820,12,29,129,3,7
821,12,29,129,5,10
822,12,29,129,5,10
823,12,29,129,5,10
824,12,29,129,15,20
825,12,29,339,15,20
826,12,29,129,10,25
827,12,29,130,15,30
828,12,29,130,15,30
829,12,29,340,30,55
830,12,29,318,15,20
831,12,29,130,40,55
832,12,29,318,15,30
833,12,29,318,15,30
834,12,30,201,19,19
835,12,30,201,20,20
836,12,30,201,18,18
837,12,30,201,21,21
838,12,30,201,17,17
839,12,30,201,22,22
840,12,30,201,16,16
841,12,30,201,23,23
842,12,30,201,15,15
843,12,30,201,24,24
844,12,30,201,14,14
845,12,30,201,25,25
846,12,31,201,19,19
847,12,31,201,20,20
848,12,31,201,18,18
849,12,31,201,21,21
850,12,31,201,17,17
851,12,31,201,22,22
852,12,31,201,16,16
853,12,31,201,23,23
854,12,31,201,15,15
855,12,31,201,24,24
856,12,31,201,14,14
857,12,31,201,25,25
858,12,32,201,19,19
859,12,32,201,20,20
860,12,32,201,18,18
861,12,32,201,21,21
862,12,32,201,17,17
863,12,32,201,22,22
864,12,32,201,16,16
865,12,32,201,23,23
866,12,32,201,15,15
867,12,32,201,24,24
868,12,32,201,14,14
869,12,32,201,25,25
870,12,33,201,19,19
871,12,33,201,20,20
872,12,33,201,18,18
873,12,33,201,21,21
874,12,33,201,17,17
875,12,33,201,22,22
876,12,33,201,16,16
877,12,33,201,23,23
878,12,33,201,15,15
879,12,33,201,24,24
880,12,33,201,14,14
881,12,33,201,25,25
882,12,34,201,19,19
883,12,34,201,20,20
884,12,34,201,18,18
885,12,34,201,21,21
886,12,34,201,17,17
887,12,34,201,22,22
888,12,34,201,16,16
889,12,34,201,23,23
890,12,34,201,15,15
891,12,34,201,24,24
892,12,34,201,14,14
893,12,34,201,25,25
894,12,35,201,19,19
895,12,35,201,20,20
896,12,35,201,18,18
897,12,35,201,21,21
898,12,35,201,17,17
899,12,35,201,22,22
900,12,35,201,16,16
901,12,35,201,23,23
902,12,35,201,15,15
903,12,35,201,24,24
904,12,35,201,14,14
905,12,35,201,25,25
906,12,36,201,19,19
907,12,36,201,20,20
908,12,36,201,18,18
909,12,36,201,21,21
910,12,36,201,17,17
911,12,36,201,22,22
912,12,36,201,16,16
913,12,36,201,23,23
914,12,36,201,15,15
915,12,36,201,24,24
916,12,36,201,14,14
917,12,36,201,25,25
918,12,37,201,19,19
919,12,37,201,20,20
920,12,37,201,18,18
921,12,37,201,21,21
922,12,37,201,17,17
923,12,37,201,22,22
924,12,37,201,16,16
925,12,37,201,23,23
926,12,37,201,15,15
927,12,37,201,24,24
928,12,37,201,14,14
929,12,37,201,25,25
930,12,38,201,19,19
931,12,38,201,20,20
932,12,38,201,18,18
933,12,38,201,21,21
934,12,38,201,17,17
935,12,38,201,22,22
936,12,38,201,16,16
937,12,38,201,23,23
938,12,38,201,15,15
939,12,38,201,24,24
940,12,38,201,14,14
941,12,38,201,25,25
942,12,39,201,19,19
943,12,39,201,20,20
944,12,39,201,18,18
945,12,39,201,21,21
946,12,39,201,17,17
947,12,39,201,22,22
948,12,39,201,16,16
949,12,39,201,23,23
950,12,39,201,15,15
951,12,39,201,24,24
952,12,39,201,14,14
953,12,39,201,25,25
954,12,40,201,19,19
955,12,40,201,20,20
956,12,40,201,18,18
957,12,40,201,21,21
958,12,40,201,17,17
959,12,40,201,22,22
960,12,40,201,16,16
961,12,40,201,23,23
962,12,40,201,15,15
963,12,40,201,24,24
964,12,40,201,14,14
965,12,40,201,25,25
966,12,41,201,19,19
967,12,41,201,20,20
968,12,41,201,18,18
969,12,41,201,21,21
970,12,41,201,17,17
971,12,41,201,22,22
972,12,41,201,16,16
973,12,41,201,23,23
974,12,41,201,15,15
975,12,41,201,24,24
976,12,41,201,14,14
977,12,41,201,25,25
978,12,42,201,19,19
979,12,42,201,20,20
980,12,42,201,18,18
981,12,42,201,21,21
982,12,42,201,17,17
983,12,42,201,22,22
984,12,42,201,16,16
985,12,42,201,23,23
986,12,42,201,15,15
987,12,42,201,24,24
988,12,42,201,14,14
989,12,42,201,25,25
990,12,43,201,19,19
991,12,43,201,20,20
992,12,43,201,18,18
993,12,43,201,21,21
994,12,43,201,17,17
995,12,43,201,22,22
996,12,43,201,16,16
997,12,43,201,23,23
998,12,43,201,15,15
999,12,43,201,24,24
1000,12,43,201,14,14
1001,12,43,201,25,25
1002,12,44,201,19,19
1003,12,44,201,20,20
1004,12,44,201,18,18
1005,12,44,201,21,21
1006,12,44,201,17,17
1007,12,44,201,22,22
1008,12,44,201,16,16
1009,12,44,201,23,23
1010,12,44,201,15,15
1011,12,44,201,24,24
1012,12,44,201,14,14
1013,12,44,201,25,25
1014,12,45,201,19,19
1015,12,45,201,20,20
1016,12,45,201,18,18
1017,12,45,201,21,21
1018,12,45,201,17,17
1019,12,45,201,22,22
1020,12,45,201,16,16
1021,12,45,201,23,23
1022,12,45,201,15,15
1023,12,45,201,24,24
1024,12,45,201,14,14
1025,12,45,201,25,25
1026,12,46,201,19,19
1027,12,46,201,20,20
1028,12,46,201,18,18
1029,12,46,201,21,21
1030,12,46,201,17,17
1031,12,46,201,22,22
1032,12,46,201,16,16
1033,12,46,201,23,23
1034,12,46,201,15,15
1035,12,46,201,24,24
1036,12,46,201,14,14
1037,12,46,201,25,25
1038,12,47,201,19,19
1039,12,47,201,20,20
1040,12,47,201,18,18
1041,12,47,201,21,21
1042,12,47,201,17,17
1043,12,47,201,22,22
1044,12,47,201,16,16
1045,12,47,201,23,23
1046,12,47,201,15,15
1047,12,47,201,24,24
1048,12,47,201,14,14
1049,12,47,201,25,25
1050,12,48,67,45,45
1051,12,48,75,45,45
1052,12,48,308,45,45
1053,12,48,42,45,45
1054,12,48,95,44,44
1055,12,48,208,46,46
1056,12,48,42,46,46
1057,12,48,42,44,44
1058,12,48,67,46,46
1059,12,48,308,46,46
1060,12,48,67,44,44
1061,12,48,308,44,44
1062,12,49,64,46,46
1063,12,49,75,46,46
1064,12,49,308,46,46
1065,12,49,42,46,46
1066,12,49,95,45,45
1067,12,49,208,47,47
1068,12,49,42,47,47
1069,12,49,42,45,45
1070,12,49,64,47,47
1071,12,49,308,47,47
1072,12,49,64,45,45
1073,12,49,308,45,45
1074,12,50,67,45,45
1075,12,50,419,45,45
1076,12,50,308,45,45
1077,12,50,42,45,45
1078,12,50,419,44,44
1079,12,50,208,46,46
1080,12,50,42,46,46
1081,12,50,42,44,44
1082,12,50,67,46,46
1083,12,50,308,46,46
1084,12,50,67,44,44
1085,12,50,308,44,44
1086,12,50,42,35,45
1087,12,50,42,35,45
1088,12,50,42,40,50
1089,12,50,42,40,50
1090,12,50,42,40,50
1091,12,50,129,4,6
1092,12,50,129,3,7
1093,12,50,129,5,10
1094,12,50,129,5,10
1095,12,50,129,5,10
1096,12,50,129,15,20
1097,12,50,129,15,20
1098,12,50,129,10,25
1099,12,50,129,10,25
1100,12,50,129,10,25
1101,12,50,130,30,40
1102,12,50,130,30,40
1103,12,50,130,40,55
1104,12,50,130,20,50
1105,12,50,130,20,50
1106,12,51,67,51,51
1107,12,51,419,51,51
1108,12,51,308,51,51
1109,12,51,42,51,51
1110,12,51,419,50,50
1111,12,51,208,52,52
1112,12,51,42,52,52
1113,12,51,42,50,50
1114,12,51,67,52,52
1115,12,51,308,52,52
1116,12,51,67,50,50
1117,12,51,308,50,50
1118,12,51,42,40,50
1119,12,51,42,45,55
1120,12,51,131,40,50
1121,12,51,131,45,55
1122,12,51,131,50,60
1123,12,51,129,4,6
1124,12,51,129,3,7
1125,12,51,129,5,10
1126,12,51,129,5,10
1127,12,51,129,5,10
1128,12,51,129,15,20
1129,12,51,129,15,20
1130,12,51,129,10,25
1131,12,51,129,10,25
1132,12,51,129,10,25
1133,12,51,130,30,40
1134,12,51,130,30,40
1135,12,51,130,40,55
1136,12,51,130,20,50
1137,12,51,130,20,50
1138,12,52,67,51,51
1139,12,52,75,51,51
1140,12,52,308,51,51
1141,12,52,42,51,51
1142,12,52,95,50,50
1143,12,52,208,52,52
1144,12,52,42,52,52
